1         2         3         4         
62        71        82        64        
82        76        4         71        
62        64        82        2         
2         4         64        82        
3         82        4         2         
73        83        84        85        
83        86        84        87        
84        73        86        83        
84        73        88        86        
73        2         88        86        
88        84        74        73        
88        62        82        2         
62        74        63        88        
88        63        73        74        
62        63        2         88        
2         63        73        88        
1         89        2         86        
89        1         3         6         
89        88        2         86        
84        88        89        86        
86        89        6         1         
89        3         2         82        
1         89        3         2         
88        89        2         82        
3         90        79        76        
3         90        76        82        
3         82        89        90        
90        3         79        91        
6         92        5         91        
89        3         91        6         
3         5         91        6         
3         89        91        90        
3         79        91        5         
77        5         92        93        
80        93        79        77        
93        92        91        5         
93        79        5         91        
93        77        5         79        
84        86        89        94        
86        89        94        6         
87        95        6         94        
87        6         86        94        
89        91        94        6         
86        84        87        94        
92        95        96        6         
6         96        92        91        
93        96        91        92        
96        95        94        6         
96        94        91        6         
95        97        87        98        
97        87        94        95        
97        96        95        94        
99        100       101       102       
103       101       99        100       
103       100       83        101       
103       99        101       104       
83        87        84        105       
83        100       87        105       
94        97        105       87        
100       105       83        101       
97        87        98        105       
100       87        105       98        
105       94        87        84        
98        100       102       106       
100       98        105       106       
97        106       105       98        
100       102       106       101       
105       101       100       106       
8         7         107       10        
7         108       107       10        
8         107       7         109       
108       14        7         109       
107       7         109       108       
7         14        13        109       
16        109       13        14        
8         107       109       13        
8         7         13        109       
10        110       111       112       
10        112       113       110       
113       10        114       108       
110       114       10        107       
107       109       114       108       
110       10        114       113       
10        108       107       114       
115       113       112       110       
115       116       112       113       
115       110       114       113       
117       118       119       120       
117       121       118       120       
122       123       124       125       
122       123       125       120       
123       120       126       125       
118       121       117       127       
122       119       120       128       
129       119       130       128       
122       125       128       120       
119       122       130       128       
119       117       120       128       
120       117       125       128       
110       131       107       10        
9         111       10        131       
9         111       131       132       
110       10        111       131       
107       8         10        131       
9         8         131       10        
8         9         131       21        
133       134       135       132       
133       111       132       135       
111       132       135       131       
133       111       135       136       
137       134       133       138       
137       133       134       135       
19        21        23        139       
24        20        19        139       
19        139       20        21        
19        24        139       23        
18        140       9         21        
131       9         132       140       
132       18        141       140       
18        132       9         140       
140       131       9         21        
131       140       132       135       
140       21        18        142       
139       142       20        21        
20        18        142       141       
18        20        142       21        
140       18        141       142       
137       135       134       143       
132       141       143       140       
141       134       132       143       
140       142       141       143       
134       135       132       143       
143       135       132       140       
144       126       136       145       
123       126       145       125       
144       126       145       123       
144       123       145       146       
146       123       147       124       
123       124       125       147       
123       125       145       147       
146       147       123       145       
144       145       148       146       
138       144       148       146       
147       148       145       146       
122       124       149       125       
147       149       124       125       
128       125       122       149       
124       150       122       149       
122       130       150       124       
128       150       149       122       
128       130       150       122       
112       116       115       151       
152       112       151       116       
151       136       112       152       
136       112       111       151       
112       110       151       115       
112       110       111       151       
136       111       135       151       
135       137       133       153       
145       144       153       136       
144       133       153       136       
145       153       144       148       
133       135       153       136       
137       148       138       153       
148       144       138       153       
137       138       133       153       
144       138       153       133       
151       153       135       136       
151       145       153       136       
151       110       111       154       
135       131       154       111       
110       131       111       154       
154       135       111       151       
154       153       135       151       
119       128       129       155       
118       156       155       119       
129       119       155       157       
117       118       155       119       
157       155       156       119       
155       119       128       117       
158       159       160       161       
162       158       161       159       
162       163       159       161       
163       159       161       164       
164       159       161       165       
103       166       101       83        
103       85        166       83        
103       166       85        167       
85        167       166       168       
83        85        166       84        
101       105       83        166       
83        105       84        166       
84        73        85        169       
74        73        169       72        
73        72        85        169       
169       84        105       166       
84        169       74        73        
169       85        84        166       
88        84        169       74        
84        105       94        169       
168       85        72        170       
85        168       166       170       
170       72        169       85        
74        170       72        169       
170       85        169       166       
171       168       167       172       
171       168       170       166       
167       171       166       168       
167       166       171       173       
167       174       173       172       
104       174       175       173       
104       167       173       103       
167       172       173       171       
104       173       167       174       
166       167       103       173       
104       103       173       101       
166       101       173       103       
172       176       174       177       
171       177       172       173       
174       172       177       173       
174       173       177       178       
178       174       173       175       
175       178       174       179       
179       174       176       178       
175       179       180       178       
174       176       178       177       
99        102       101       181       
102       182       181       99        
106       102       181       101       
104       183       184       99        
184       99        183       182       
99        182       181       183       
99        183       181       101       
184       104       175       183       
104       183       173       175       
99        183       101       104       
183       173       101       104       
178       173       183       175       
175       178       180       185       
184       175       185       183       
186       175       180       185       
175       184       185       186       
186       184       185       187       
185       178       183       175       
184       182       183       188       
188       182       187       184       
188       182       183       181       
184       183       185       188       
184       188       185       187       
162       158       189       161       
186       158       190       189       
180       186       189       158       
180       162       158       189       
189       186       180       185       
186       190       191       189       
189       185       191       186       
188       191       185       187       
187       186       190       191       
186       187       185       191       
158       160       192       161       
192       191       190       189       
190       158       160       192       
158       189       161       192       
158       190       189       192       
160       159       193       161       
193       192       160       161       
160       194       193       159       
195       173       183       178       
185       195       183       178       
196       179       178       180       
179       197       196       198       
180       179       197       196       
180       189       196       162       
189       161       196       162       
180       197       162       196       
189       196       185       180       
178       196       180       185       
178       196       199       179       
179       198       196       199       
176       198       179       199       
179       176       199       178       
199       177       178       176       
198       197       200       201       
200       199       196       198       
197       198       200       196       
197       162       196       202       
162       161       202       163       
163       161       202       164       
197       163       202       201       
162       163       202       197       
161       202       196       162       
200       196       203       197       
202       196       197       203       
200       201       197       203       
202       201       203       197       
204       165       161       159       
165       159       204       194       
204       161       193       159       
204       193       194       159       
193       205       192       161       
204       205       193       161       
204       206       193       205       
206       204       193       194       
130       129       128       207       
150       207       130       128       
128       129       155       207       
129       130       208       207       
8         107       13        209       
21        8         13        209       
140       21        142       209       
140       209       131       21        
107       8         131       209       
8         21        131       209       
42        13        210       23        
21        210       209       13        
21        210       13        23        
210       209       13        211       
109       107       211       13        
209       107       13        211       
212       109       211       13        
46        16        212       42        
210       211       13        212       
13        42        210       212       
16        109       212       13        
16        13        212       42        
43        44        33        213       
43        17        42        213       
214       22        213       215       
43        22        17        213       
43        214       22        213       
44        213       43        42        
23        42        17        213       
43        214       213       33        
22        23        17        213       
33        30        214       216       
35        216       33        44        
213       44        33        216       
35        33        216       30        
214       213       33        216       
214       30        217       216       
217       218       215       214       
214       218       215       213       
213       214       218       216       
218       214       217       216       
42        23        210       219       
213       44        216       219       
44        213       42        219       
210       211       212       219       
42        210       212       219       
219       42        23        213       
215       22        220       24        
139       24        220       23        
22        24        23        220       
213       23        219       220       
218       215       213       220       
22        215       220       213       
23        22        220       213       
23        221       219       220       
221       139       220       23        
221       210       21        23        
221       21        139       23        
139       21        221       142       
210       221       219       23        
210       21        209       221       
21        221       142       209       
60        78        81        222       
80        81        78        222       
78        79        222       25        
78        25        222       61        
61        75        25        222       
60        78        222       61        
80        79        222       78        
76        75        222       25        
59        61        60        222       
76        79        25        222       
59        61        222       75        
60        223       222       81        
80        223       81        222       
60        81        224       223       
222       60        59        223       
224       60        223       52        
60        59        223       52        
52        32        225       226       
49        50        52        225       
59        52        50        225       
49        50        225       57        
59        225       223       52        
59        50        57        225       
49        32        225       52        
59        222       223       225       
32        226       227       225       
49        32        227       225       
226       227       228       32        
27        32        227       26        
228       32        227       27        
32        49        227       26        
229       225       52        223       
224       229       52        223       
224       226       52        229       
52        225       229       226       
229       227       226       225       
230       30        231       217       
218       231       216       217       
231       30        216       217       
231       30        230       232       
216       232       30        231       
26        27        30        232       
35        216       232       30        
30        230       232       27        
35        232       26        30        
233       26        227       49        
26        53        49        233       
49        225       227       233       
26        233       234       232       
231       234       232       230       
228       27        234       230       
228       227       234       27        
234       230       27        232       
26        232       234       27        
26        27        234       227       
233       234       227       26        
235       44        219       216       
38        44        47        235       
216       35        232       235       
216       235       44        35        
38        35        44        235       
35        232       235       236       
36        53        236       55        
232       236       35        26        
26        236       233       232       
26        233       236       53        
26        53        236       36        
35        236       36        26        
36        237       55        236       
38        48        237       47        
237       38        35        36        
35        237       235       38        
237       35        235       236       
38        237       235       47        
36        48        55        237       
36        38        48        237       
237       35        236       36        
42        219       238       44        
46        47        44        238       
46        42        238       44        
42        219       212       238       
44        47        235       238       
237       47        238       235       
219       44        235       238       
46        212       238       42        
212       211       238       219       
237       48        239       47        
47        239       237       238       
237       48        55        239       
237       239       55        236       
233       240       236       53        
57        53        65        240       
53        240       49        233       
225       49        240       233       
53        57        49        240       
225       49        57        240       
65        55        241       53        
65        53        241       240       
55        53        236       241       
53        240       236       241       
55        239       241       236       
242       57        75        67        
67        70        75        242       
57        242       240       65        
242       65        57        67        
65        242       240       241       
59        225       57        243       
242       243       75        57        
57        242       243       240       
57        225       240       243       
75        59        57        243       
59        225       243       222       
75        243       222       59        
244       105       166       169       
101       244       105       166       
105       244       94        169       
173       183       245       195       
166       101       244       245       
183       101       245       181       
166       245       173       101       
183       245       101       173       
82        71        62        246       
62        74        88        246       
62        82        246       88        
169       74        170       247       
75        76        248       70        
75        248       242       70        
70        76        248       71        
90        76        82        248       
76        71        82        248       
243       75        248       242       
242       67        70        249       
242       65        67        249       
242       65        249       241       
249       248       70        242       
71        250       82        248       
70        250       71        248       
90        248       82        250       
248       250       249       70        
71        82        250       246       
247       169       74        251       
169       88        74        251       
247       246       251       74        
246       82        251       88        
169       247       244       251       
246       88        251       74        
243       248       75        252       
248       75        252       76        
243       222       252       75        
222       75        76        252       
90        79        76        252       
90        252       76        248       
79        222       76        252       
79        222       253       80        
79        80        253       93        
79        222       252       253       
222       223       253       80        
79        90        91        253       
79        93        253       91        
79        252       90        253       
90        82        254       250       
90        91        253       254       
90        252       248       254       
246       82        250       254       
90        252       254       253       
246       251       82        254       
90        248       250       254       
89        82        255       90        
255       89        94        84        
89        91        90        255       
169       255       251       244       
255       88        251       82        
89        88        255       82        
90        254       255       91        
90        254       82        255       
88        89        255       84        
255       89        91        94        
84        88        169       255       
255       254       82        251       
255       88        169       251       
255       244       169       94        
84        255       169       94        
91        255       256       254       
91        96        93        256       
93        91        256       253       
91        256       253       254       
96        91        94        256       
91        94        256       255       
94        257       256       255       
94        97        96        257       
94        255       244       257       
96        94        257       256       
97        106       257       105       
94        97        257       105       
105       94        244       257       
101       245       181       258       
106       105       101       258       
105       244       258       257       
106       181       258       101       
105       244       101       258       
106       257       105       258       
245       101       244       258       
110       107       131       259       
110       131       154       259       
107       131       259       209       
114       110       259       107       
259       107       209       260       
109       107       114       260       
209       211       260       107       
212       211       109       260       
259       114       107       260       
109       260       211       107       
126       261       136       145       
126       262       152       261       
152       126       261       136       
151       152       261       136       
261       126       125       145       
151       261       145       136       
116       152       263       264       
152       116       151       264       
115       264       151       116       
151       152       264       261       
261       151       265       264       
154       265       153       151       
265       261       145       151       
265       145       153       151       
263       266       264       152       
262       261       266       152       
263       262       267       266       
263       262       266       152       
266       264       152       261       
115       110       151       268       
115       264       268       151       
259       114       260       268       
259       110       268       154       
154       151       110       268       
115       114       110       268       
114       259       110       268       
117       120       125       269       
261       269       262       266       
117       120       269       121       
121       262       120       269       
121       262       269       267       
262       267       266       269       
262       120       269       126       
261       262       269       126       
125       120       126       269       
261       269       125       126       
270       266       267       269       
118       156       127       271       
118       156       271       155       
118       117       271       127       
117       271       155       118       
121       267       269       272       
267       121       127       272       
270       272       269       267       
121       117       127       272       
117       121       269       272       
271       117       272       127       
271       117       269       272       
125       145       147       273       
125       149       273       147       
269       273       261       125       
273       261       125       145       
265       261       273       145       
269       125       274       273       
155       128       274       117       
271       117       155       274       
128       125       274       117       
117       271       269       274       
117       269       125       274       
275       125       273       274       
275       125       149       273       
150       275       128       149       
275       128       149       125       
275       128       125       274       
129       208       276       207       
157       129       208       276       
157       129       276       155       
276       129       207       155       
157       276       208       277       
156       157       277       278       
156       155       157       278       
155       157       278       276       
157       276       277       278       
156       271       155       278       
156       271       278       127       
278       156       279       277       
156       279       127       278       
272       271       127       280       
279       278       280       127       
280       271       127       278       
150       275       281       128       
155       128       281       274       
207       276       155       281       
150       207       128       281       
275       128       274       281       
207       128       281       155       
131       209       282       259       
154       131       282       259       
140       131       209       282       
135       282       154       131       
135       154       282       153       
143       135       140       282       
135       131       140       282       
135       137       283       143       
135       282       283       153       
153       148       283       137       
282       135       283       143       
135       153       283       137       
221       139       284       220       
139       221       284       142       
221       284       142       209       
142       285       209       284       
282       285       143       283       
142       140       285       143       
143       282       140       285       
140       142       285       209       
140       282       209       285       
148       153       283       286       
149       147       286       273       
145       153       286       265       
148       147       145       286       
145       147       273       286       
265       145       273       286       
148       145       153       286       
275       149       286       273       
149       275       287       150       
150       275       287       281       
149       275       286       287       
275       287       273       286       
268       264       288       151       
151       265       264       288       
268       288       259       154       
154       288       151       268       
154       265       151       288       
265       273       288       289       
289       283       153       286       
154       153       289       282       
265       154       289       288       
283       289       153       282       
153       265       154       289       
289       153       265       286       
265       289       286       273       
209       259       290       282       
211       209       260       290       
209       285       290       284       
282       209       285       290       
259       209       290       260       
291       154       259       288       
291       288       289       154       
154       282       291       259       
291       290       259       282       
282       154       291       289       
155       274       292       271       
155       278       271       292       
278       280       271       292       
155       274       281       292       
276       155       281       292       
292       276       278       277       
292       155       278       276       
278       279       293       277       
161       205       192       294       
189       196       294       185       
189       161       192       294       
202       294       161       196       
189       294       196       161       
202       161       294       295       
204       295       161       165       
205       161       295       294       
161       202       164       295       
205       204       295       161       
164       295       165       161       
164       163       296       202       
164       202       296       295       
163       201       296       202       
203       202       296       201       
297       164       296       295       
164       297       165       295       
165       204       295       298       
297       165       295       298       
165       204       298       299       
206       204       194       299       
204       165       194       299       
171       166       300       173       
169       247       300       244       
170       169       300       166       
170       247       300       169       
177       171       300       173       
166       245       244       300       
244       166       300       169       
171       170       300       166       
245       166       173       300       
173       245       300       301       
177       301       173       300       
195       178       301       173       
177       173       301       178       
173       195       245       301       
199       177       301       178       
247       251       302       244       
247       302       300       244       
195       178       303       301       
199       301       303       178       
178       196       303       199       
195       185       303       178       
178       185       303       196       
196       294       185       303       
181       258       245       304       
181       188       304       183       
183       181       245       304       
195       183       245       304       
191       305       188       185       
305       195       185       303       
191       305       304       188       
189       185       294       305       
185       305       189       191       
305       188       183       304       
305       195       304       183       
195       185       183       305       
185       305       188       183       
305       303       185       294       
305       303       294       306       
191       192       306       189       
305       306       191       304       
189       192       306       294       
305       189       306       294       
191       305       189       306       
205       295       307       294       
205       307       308       294       
193       205       308       192       
205       193       308       206       
192       306       294       308       
205       308       192       294       
304       258       245       309       
310       304       309       258       
303       195       301       309       
195       245       309       304       
303       195       309       305       
305       195       309       304       
300       301       245       309       
195       245       301       309       
294       196       202       311       
294       303       196       311       
199       196       303       311       
200       199       311       196       
301       199       303       311       
303       301       311       309       
202       203       311       196       
200       203       196       311       
297       295       296       312       
202       296       295       312       
307       295       312       294       
202       295       294       312       
203       202       312       296       
307       312       311       294       
203       202       311       312       
202       294       311       312       
205       308       307       313       
206       204       313       205       
299       204       298       313       
204       205       295       313       
204       295       298       313       
206       205       313       308       
205       295       313       307       
206       204       299       313       
276       208       277       314       
276       208       314       315       
276       315       292       281       
276       207       208       315       
207       281       315       276       
211       316       260       212       
211       316       290       260       
211       317       290       316       
209       290       317       284       
211       290       317       209       
210       221       209       317       
211       210       209       317       
221       284       209       317       
211       317       238       219       
210       211       219       317       
210       221       317       219       
212       211       318       238       
211       317       318       238       
211       316       212       318       
211       316       318       317       
216       235       232       319       
231       216       232       319       
216       235       319       219       
213       216       319       219       
216       218       213       319       
213       219       319       220       
218       220       213       319       
231       218       216       319       
219       320       238       235       
320       219       238       317       
219       235       319       320       
320       318       317       238       
321       220       319       219       
284       221       321       317       
320       219       317       321       
221       220       321       219       
321       219       319       320       
221       284       321       220       
221       219       321       317       
229       223       322       225       
222       243       252       322       
243       222       225       322       
223       222       322       225       
225       243       322       240       
223       222       253       322       
222       252       253       322       
233       240       225       323       
229       225       322       323       
233       227       323       225       
229       227       225       323       
233       227       234       323       
225       240       322       323       
231       232       324       319       
232       234       231       324       
232       324       319       235       
236       240       325       241       
232       324       235       325       
324       325       234       323       
236       232       325       233       
233       232       325       234       
236       232       235       325       
233       323       325       240       
233       323       234       325       
233       236       240       325       
324       232       234       325       
239       237       238       326       
239       236       326       241       
320       326       238       235       
235       237       326       238       
235       319       326       324       
237       236       326       239       
235       237       236       326       
235       326       319       320       
236       325       326       241       
325       324       235       326       
236       325       235       326       
238       327       320       318       
239       238       327       326       
320       326       327       238       
327       326       328       239       
326       325       328       241       
239       241       326       328       
329       240       241       325       
329       241       328       325       
325       240       323       329       
240       323       329       322       
240       243       322       329       
240       242       243       329       
242       249       329       241       
240       242       329       241       
241       330       249       329       
330       241       328       329       
243       248       252       331       
249       248       242       331       
331       329       249       330       
331       243       329       322       
243       252       322       331       
243       248       331       242       
249       242       329       331       
243       331       329       242       
252       332       331       248       
252       332       248       254       
248       250       254       332       
252       332       333       331       
333       253       252       322       
333       252       331       322       
246       334       254       250       
332       254       334       250       
251       246       334       254       
244       255       335       257       
335       251       244       302       
251       255       254       335       
251       255       335       244       
245       244       300       336       
335       244       257       336       
310       336       258       309       
300       302       336       244       
336       335       244       302       
245       244       336       258       
336       245       258       309       
258       244       336       257       
336       245       309       300       
247       337       302       251       
251       247       337       246       
251       337       302       335       
251       337       334       246       
330       249       331       338       
331       332       338       248       
334       250       338       332       
250       248       249       338       
248       249       338       331       
250       248       338       332       
332       254       339       334       
334       332       338       339       
251       335       339       337       
251       335       254       339       
337       251       334       339       
254       251       339       334       
253       333       252       340       
252       253       340       254       
332       252       340       254       
332       254       340       339       
256       253       254       340       
332       252       333       340       
256       257       341       255       
255       254       335       341       
340       339       254       341       
256       341       340       254       
257       341       255       335       
335       339       341       254       
256       254       255       341       
258       342       257       336       
341       342       335       257       
335       342       336       257       
310       258       336       342       
291       288       259       343       
260       259       343       290       
291       290       343       259       
260       259       268       343       
268       288       343       259       
316       260       343       290       
266       264       261       344       
266       261       269       344       
268       344       288       264       
270       266       269       344       
269       261       273       344       
265       288       273       344       
265       261       344       273       
344       288       264       265       
261       264       265       344       
288       268       345       344       
345       288       343       268       
270       272       346       269       
271       274       346       269       
270       344       269       346       
269       273       346       344       
272       271       346       269       
269       273       274       346       
280       271       292       347       
272       280       347       271       
347       271       274       346       
271       274       292       347       
272       347       346       271       
289       286       273       348       
286       273       348       287       
346       344       273       348       
288       344       348       273       
289       288       348       273       
288       345       348       344       
349       348       346       273       
274       347       349       292       
347       346       274       349       
349       348       273       287       
274       275       281       349       
274       349       346       273       
274       292       349       281       
287       275       349       281       
275       287       349       273       
274       275       349       273       
292       278       350       277       
276       292       350       277       
351       277       350       293       
292       276       350       315       
277       278       350       293       
351       277       314       350       
277       276       314       350       
315       276       350       314       
352       278       293       350       
292       278       352       350       
278       279       352       293       
278       280       292       352       
278       280       352       279       
347       353       349       292       
347       280       353       292       
280       353       292       352       
281       315       292       354       
281       354       292       349       
281       287       354       349       
289       355       286       348       
289       283       286       355       
355       283       356       289       
285       283       282       356       
285       282       290       356       
291       290       282       356       
283       289       282       356       
291       282       289       356       
321       317       320       357       
321       284       317       357       
358       285       284       290       
358       284       357       317       
358       285       290       356       
358       317       290       284       
287       354       349       359       
355       359       286       348       
349       348       287       359       
287       359       348       286       
348       355       359       360       
291       289       360       356       
291       288       360       289       
355       289       356       360       
345       288       360       343       
355       289       360       348       
291       288       343       360       
345       288       348       360       
289       360       348       288       
290       361       317       358       
291       361       356       360       
290       361       358       356       
290       317       361       316       
290       291       361       356       
291       361       360       343       
290       343       316       361       
290       291       343       361       
350       292       362       352       
362       349       292       354       
362       353       292       349       
353       352       362       292       
292       350       362       315       
315       292       354       362       
293       351       363       364       
352       350       293       364       
351       293       350       364       
351       363       364       365       
307       366       308       294       
303       294       366       311       
307       294       311       366       
307       312       366       311       
303       309       311       366       
303       294       306       366       
308       294       366       306       
307       366       312       367       
298       295       367       313       
307       295       313       367       
297       298       295       368       
295       307       312       368       
312       307       367       368       
298       295       368       367       
296       297       312       368       
307       295       367       368       
297       295       312       368       
298       369       367       368       
298       369       313       367       
298       313       370       299       
298       370       313       369       
336       371       335       302       
371       302       336       300       
336       371       300       309       
301       300       372       309       
301       311       309       372       
371       302       300       372       
371       372       300       309       
371       302       372       373       
302       371       335       373       
302       337       373       335       
303       309       366       374       
308       306       366       374       
304       305       374       309       
303       306       374       366       
310       304       374       309       
303       305       309       374       
304       306       374       305       
305       306       374       303       
310       375       309       374       
310       342       336       375       
310       336       309       375       
336       371       309       375       
366       307       308       376       
307       366       367       376       
367       307       376       313       
366       308       374       376       
308       313       376       307       
374       366       376       377       
374       375       309       377       
309       371       377       375       
371       372       309       377       
374       366       377       309       
311       366       378       312       
366       311       378       309       
366       378       377       309       
372       311       309       378       
372       378       309       377       
367       312       379       366       
366       312       379       378       
367       312       368       379       
367       313       380       369       
367       313       376       380       
370       313       369       380       
351       381       365       364       
350       351       364       381       
350       315       314       381       
314       351       381       365       
350       351       381       314       
350       382       381       364       
381       382       350       383       
354       362       383       315       
362       315       350       383       
362       383       350       382       
350       315       381       383       
320       326       384       327       
320       317       318       384       
320       317       384       357       
327       320       318       384       
316       385       317       361       
316       318       317       385       
343       316       361       385       
327       318       386       384       
318       384       317       387       
318       385       387       317       
385       386       318       387       
361       385       317       387       
357       317       387       358       
361       317       358       387       
386       384       318       387       
357       384       387       317       
324       319       326       388       
325       324       326       388       
320       326       388       384       
321       357       320       388       
384       320       357       388       
321       319       388       320       
326       320       388       319       
322       323       329       389       
333       322       331       389       
331       329       389       322       
325       390       329       323       
325       324       390       323       
324       390       388       325       
390       323       389       329       
384       387       391       357       
384       388       357       391       
326       328       325       392       
390       389       392       329       
328       330       329       392       
328       327       392       326       
326       327       392       384       
326       388       384       392       
384       388       391       392       
390       325       392       388       
326       325       388       392       
390       325       329       392       
329       392       325       328       
393       327       384       392       
384       393       392       391       
328       393       392       327       
327       384       386       393       
328       392       393       394       
328       330       392       394       
394       330       395       338       
331       329       330       395       
389       329       395       392       
330       329       392       395       
338       331       330       395       
394       395       330       392       
331       332       395       338       
332       338       339       395       
331       329       395       389       
340       333       332       396       
332       396       395       339       
395       389       396       331       
340       332       339       396       
333       389       331       396       
333       332       396       331       
331       332       396       395       
334       337       339       397       
334       339       338       397       
395       398       394       338       
339       399       397       337       
339       335       399       337       
373       337       399       335       
373       371       335       399       
335       339       399       341       
373       337       397       399       
335       342       341       399       
335       336       342       399       
336       335       371       399       
342       375       399       336       
336       371       375       399       
398       397       338       400       
397       400       339       338       
398       338       395       400       
400       339       399       397       
400       396       339       395       
400       338       395       339       
340       339       401       396       
342       341       399       401       
400       339       396       401       
399       339       400       401       
342       399       375       401       
341       340       339       401       
399       339       401       341       
402       375       377       371       
399       402       375       401       
402       399       375       371       
345       343       360       403       
360       361       403       343       
343       385       361       403       
346       404       344       348       
345       404       403       360       
404       348       360       345       
404       345       344       348       
348       404       360       405       
360       404       403       405       
348       359       405       360       
347       353       406       349       
349       346       348       406       
353       406       349       362       
347       346       349       406       
404       346       406       348       
348       404       405       406       
348       349       407       359       
362       354       383       407       
405       348       407       359       
349       354       407       359       
349       354       362       407       
349       406       407       362       
407       405       406       348       
349       407       406       348       
352       364       408       350       
362       408       382       350       
364       408       350       382       
353       408       362       352       
353       408       406       362       
362       352       408       350       
407       409       359       354       
407       405       359       409       
407       354       383       409       
356       355       360       410       
355       360       410       359       
356       360       361       410       
360       359       405       410       
357       411       358       387       
356       361       411       410       
411       361       358       387       
387       411       391       357       
356       358       411       361       
412       405       359       410       
405       412       359       409       
361       385       387       413       
411       361       387       413       
360       403       413       405       
360       410       413       361       
410       360       413       405       
412       410       413       405       
410       361       411       413       
360       403       361       413       
403       361       413       385       
414       362       383       407       
414       407       383       409       
362       408       414       382       
407       362       406       414       
383       362       414       382       
362       408       406       414       
363       364       365       415       
416       415       363       417       
363       365       417       415       
382       418       415       364       
382       408       418       364       
382       408       414       418       
415       419       364       365       
381       365       364       419       
419       417       365       415       
382       415       419       364       
382       381       364       419       
416       417       420       421       
421       416       417       415       
421       419       415       417       
422       423       420       417       
421       419       417       423       
421       423       417       420       
421       424       420       416       
421       415       424       416       
424       421       420       423       
367       379       425       366       
378       366       425       379       
367       379       380       425       
376       366       367       425       
425       376       366       377       
377       378       366       425       
376       367       380       425       
376       425       380       426       
367       379       368       427       
369       368       427       367       
367       379       427       380       
369       367       427       380       
369       428       380       427       
370       369       428       380       
371       373       372       429       
378       377       372       429       
373       371       399       429       
372       371       429       377       
402       399       371       429       
373       399       397       429       
402       429       371       377       
397       399       400       429       
402       377       430       429       
402       375       401       430       
425       376       430       426       
377       375       430       374       
402       377       375       430       
377       374       430       376       
377       425       376       430       
377       425       430       431       
425       378       379       431       
377       378       431       429       
425       377       378       431       
377       430       429       431       
379       427       380       432       
379       425       432       380       
425       431       379       432       
426       425       380       432       
425       431       432       426       
380       433       432       427       
428       380       427       433       
433       426       380       432       
382       381       419       434       
382       381       434       383       
382       418       434       415       
383       382       414       434       
382       419       415       434       
382       418       414       434       
414       409       383       435       
414       383       434       435       
386       393       384       436       
384       393       391       436       
386       387       436       384       
384       387       436       391       
403       413       437       385       
387       385       437       413       
386       387       437       436       
387       386       437       385       
387       438       391       411       
391       387       436       438       
387       438       437       436       
387       413       437       438       
411       387       438       413       
392       439       395       389       
395       396       389       439       
392       390       439       389       
388       392       439       391       
392       390       388       439       
436       391       440       393       
440       391       436       438       
439       391       392       440       
391       393       392       440       
392       439       441       395       
393       394       392       441       
439       392       441       440       
436       393       440       441       
394       392       441       395       
393       392       440       441       
394       442       395       441       
398       394       442       395       
400       396       443       401       
398       442       443       395       
398       400       395       443       
396       395       400       443       
395       439       441       443       
